kingdom,phylum,class,order,family,genus,species,scientificName,Latitude,Longitude,eventDate,day,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",43.3675,-124.5872,1990-10-02T13:30:08,2.0,10.0,1990,HUMAN_OBSERVATION,BOEM,46,46_14913
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",46.0413,-126.3415,1990-09-28T12:25:12,28.0,9.0,1990,HUMAN_OBSERVATION,BOEM,46,46_14566
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",46.8033,-125.0139,1990-07-26T13:35:15,26.0,7.0,1990,HUMAN_OBSERVATION,BOEM,46,46_13202
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",45.6,-124.9442,1990-09-28T14:45:29,28.0,9.0,1990,HUMAN_OBSERVATION,BOEM,46,46_14598
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",46.8057,-124.4154,1990-09-27T14:40:20,27.0,9.0,1990,HUMAN_OBSERVATION,BOEM,46,46_14308
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",34.0622,-119.2659,1995-11-15T13:33:02,15.0,11.0,1995,HUMAN_OBSERVATION,BOEM,53,53_15110
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",34.4356,-120.1207,1995-11-15T11:15:47,15.0,11.0,1995,HUMAN_OBSERVATION,BOEM,53,53_14665
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",34.4135,-120.1004,1995-11-15T11:15:56,15.0,11.0,1995,HUMAN_OBSERVATION,BOEM,53,53_14667
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",34.359,-120.0806,1995-11-15T12:20:24,15.0,11.0,1995,HUMAN_OBSERVATION,BOEM,53,53_14672
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",34.3727,-120.3433,1995-11-15T11:12:47,15.0,11.0,1995,HUMAN_OBSERVATION,BOEM,53,53_14627
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",34.3556,-120.2061,1995-11-15T11:15:51,15.0,11.0,1995,HUMAN_OBSERVATION,BOEM,53,53_14649
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",34.0821,-119.8613,1996-08-13T10:00:56,13.0,8.0,1996,HUMAN_OBSERVATION,BOEM,53,53_6967
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",34.4382,-120.3932,1995-11-14T14:42:14,14.0,11.0,1995,HUMAN_OBSERVATION,BOEM,53,53_14441
